Year,지역,Value
2008,서울," 65,141 "
2009,서울," 66,082 "
2010,서울," 68,872 "
2011,서울," 70,026 "
2012,서울," 70,556 "
2013,서울," 71,048 "
2014,서울," 72,428 "
2015,서울," 74,533 "
2016,서울," 76,110 "
2017,서울," 78,526 "
2018,서울," 82,335 "
2019,서울," 83,415 "
2009,도쿄," 98,299 "
2010,도쿄," 101,446 "
2012,도쿄," 115,876 "
2014,도쿄," 103,267 "
2016,도쿄," 112,651 "
2009,오사카," 82,225 "
2010,오사카," 84,805 "
2012,오사카," 98,773 "
2014,오사카," 89,459 "
2016,오사카," 97,643 "
2001,뉴욕," 143,794 "
2002,뉴욕," 143,728 "
2003,뉴욕," 144,731 "
2004,뉴욕," 146,144 "
2005,뉴욕," 146,851 "
2006,뉴욕," 149,100 "
2007,뉴욕," 150,356 "
2008,뉴욕," 146,921 "
2009,뉴욕," 153,778 "
2010,뉴욕," 159,760 "
2011,뉴욕," 159,092 "
2012,뉴욕," 165,365 "
2013,뉴욕," 165,805 "
2014,뉴욕," 167,454 "
2015,뉴욕," 170,154 "
2016,뉴욕," 174,571 "
2017,뉴욕," 175,617 "
2018,뉴욕," 181,615 "
2019,뉴욕," 184,905 "
2001,토론토," 82,737 "
2002,토론토," 84,552 "
2003,토론토," 81,910 "
2004,토론토," 81,806 "
2005,토론토," 81,605 "
2006,토론토," 81,776 "
2007,토론토," 81,191 "
2008,토론토," 78,566 "
2009,토론토," 81,094 "
2010,토론토," 81,655 "
2011,토론토," 81,046 "
2012,토론토," 82,342 "
2013,토론토," 81,077 "
2014,토론토," 82,701 "
2015,토론토," 86,516 "
2016,토론토," 88,151 "
2017,토론토," 88,018 "
2018,토론토," 88,416 "
2001,시드니," 90,173 "
2002,시드니," 91,257 "
2003,시드니," 91,805 "
2004,시드니," 93,045 "
2005,시드니," 93,481 "
2006,시드니," 94,025 "
2007,시드니," 95,140 "
2008,시드니," 96,241 "
2009,시드니," 98,066 "
2010,시드니," 101,356 "
2011,시드니," 100,052 "
2012,시드니," 100,370 "
2013,시드니," 99,396 "
2014,시드니," 100,689 "
2015,시드니," 100,267 "
2016,시드니," 100,611 "
2017,시드니," 100,947 "
2018,시드니," 99,601 "
2019,시드니," 96,743 "
2001,파리," 109,744 "
2002,파리," 111,992 "
2003,파리," 113,331 "
2004,파리," 115,437 "
2005,파리," 116,996 "
2006,파리," 117,362 "
2007,파리," 120,548 "
2008,파리," 125,366 "
2009,파리," 122,458 "
2010,파리," 129,014 "
2011,파리," 127,510 "
2012,파리," 128,125 "
2013,파리," 129,242 "
2014,파리," 129,551 "
2015,파리," 131,622 "
2016,파리," 133,163 "
2017,파리," 135,845 "
2018,파리," 134,673 "
2001,베를린," 78,710 "
2002,베를린," 78,992 "
2003,베를린," 78,949 "
2004,베를린," 78,394 "
2005,베를린," 79,599 "
2006,베를린," 81,355 "
2007,베를린," 81,559 "
2008,베를린," 82,583 "
2009,베를린," 79,555 "
2010,베를린," 81,290 "
2011,베를린," 83,592 "
2012,베를린," 82,441 "
2013,베를린," 82,063 "
2014,베를린," 83,662 "
2015,베를린," 84,455 "
2016,베를린," 86,197 "
2017,베를린," 86,926 "
2018,베를린," 87,000 "
2001,런던," 96,660 "
2002,런던," 99,143 "
2003,런던," 101,937 "
2004,런던," 104,866 "
2005,런던," 108,202 "
2006,런던," 110,583 "
2007,런던," 115,253 "
2008,런던," 111,189 "
2009,런던," 108,219 "
2010,런던," 110,930 "
2011,런던," 111,188 "
2012,런던," 109,835 "
2013,런던," 111,269 "
2014,런던," 112,436 "
2015,런던," 113,343 "
2016,런던," 114,425 "
2017,런던," 113,333 "
2018,런던," 112,729 "
2001,스톡홀롬," 93,378 "
2002,스톡홀롬," 96,686 "
2003,스톡홀롬," 98,784 "
2004,스톡홀롬," 107,068 "
2005,스톡홀롬," 110,166 "
2006,스톡홀롬," 110,282 "
2007,스톡홀롬," 114,242 "
2008,스톡홀롬," 111,864 "
2009,스톡홀롬," 112,591 "
2010,스톡홀롬," 115,162 "
2011,스톡홀롬," 117,380 "
2012,스톡홀롬," 115,419 "
2013,스톡홀롬," 115,052 "
2014,스톡홀롬," 118,085 "
2015,스톡홀롬," 122,879 "
2016,스톡홀롬," 122,026 "
2017,스톡홀롬," 119,827 "
2018,스톡홀롬," 121,195 "
