Year,지역,Value
2008,한국," 90,532 "
2009,한국," 94,672 "
2010,한국," 98,293 "
2011,한국," 101,370 "
2012,한국," 104,114 "
2013,한국," 108,909 "
2014,한국," 111,694 "
2015,한국," 114,322 "
2016,한국," 117,450 "
2017,한국," 120,630 "
2018,한국," 123,230 "
2019,한국," 127,258 "
2002,일본," 251,889 "
2004,일본," 259,336 "
2006,일본," 266,431 "
2008,일본," 274,992 "
2010,일본," 283,548 "
2012,일본," 292,039 "
2014,일본," 300,075 "
2016,일본," 308,105 "
2018,일본," 315,406 "
2001,미국," 668,939 "
2002,미국," 674,824 "
2003,미국," 691,873 "
2004,미국," 700,287 "
2005,미국," 718,473 "
2006,미국," 723,118 "
2007,미국," 732,234 "
2008,미국," 740,867 "
2009,미국," 749,566 "
2010,미국," 752,572 "
2011,미국," 767,782 "
2012,미국," 784,633 "
2013,미국," 809,845 "
2014,미국," 820,251 "
2015,미국," 827,261 "
2016,미국," 835,987 "
2017,미국," 849,126 "
2018,미국," 851,641 "
2019,미국," 866,316 "
2001,캐나다," 65,235 "
2002,캐나다," 66,289 "
2003,캐나다," 66,583 "
2004,캐나다," 68,171 "
2005,캐나다," 69,619 "
2006,캐나다," 70,870 "
2007,캐나다," 72,903 "
2008,캐나다," 75,155 "
2009,캐나다," 78,623 "
2010,캐나다," 80,895 "
2011,캐나다," 84,313 "
2012,캐나다," 87,306 "
2013,캐나다," 90,205 "
2014,캐나다," 92,708 "
2015,캐나다," 95,206 "
2016,캐나다," 97,169 "
2017,캐나다," 99,811 "
2018,캐나다," 102,909 "
2019,캐나다," 104,589 "
2020,캐나다," 106,171 "
2001,호주," 49,392 "
2002,호주," 49,895 "
2003,호주," 51,819 "
2004,호주," 53,966 "
2005,호주," 56,084 "
2006,호주," 58,167 "
2007,호주," 62,652 "
2008,호주," 64,117 "
2009,호주," 67,613 "
2012,호주," 75,258 "
2013,호주," 77,974 "
2014,호주," 80,968 "
2015,호주," 83,490 "
2016,호주," 86,550 "
2017,호주," 90,417 "
2018,호주," 93,604 "
2019,호주," 97,039 "
2001,프랑스," 201,140 "
2002,프랑스," 203,962 "
2003,프랑스," 206,289 "
2004,프랑스," 208,769 "
2005,프랑스," 210,312 "
2006,프랑스," 211,324 "
2007,프랑스," 211,521 "
2008,프랑스," 212,478 "
2009,프랑스," 210,723 "
2010,프랑스," 212,132 "
2011,프랑스," 199,094 "
2012,프랑스," 201,094 "
2013,프랑스," 203,249 "
2014,프랑스," 205,041 "
2015,프랑스," 206,710 "
2016,프랑스," 208,266 "
2017,프랑스," 210,038 "
2018,프랑스," 210,567 "
2019,프랑스," 213,201 "
2001,독일," 271,157 "
2002,독일," 273,961 "
2003,독일," 276,643 "
2004,독일," 278,444 "
2005,독일," 280,012 "
2006,독일," 283,102 "
2007,독일," 286,803 "
2008,독일," 290,723 "
2009,독일," 296,400 "
2010,독일," 303,645 "
2011,독일," 311,223 "
2012,독일," 317,390 "
2013,독일," 325,407 "
2014,독일," 332,695 "
2015,독일," 338,129 "
2016,독일," 344,755 "
2017,독일," 351,195 "
2018,독일," 357,401 "
2019,독일," 365,100 "
2001,영국," 118,648 "
2002,영국," 123,560 "
2003,영국," 129,426 "
2004,영국," 138,096 "
2005,영국," 143,677 "
2006,영국," 147,867 "
2007,영국," 151,026 "
2008,영국," 156,947 "
2009,영국," 163,418 "
2010,영국," 165,060 "
2011,영국," 168,751 "
2012,영국," 170,580 "
2013,영국," 172,792 "
2014,영국," 176,135 "
2015,영국," 179,162 "
2016,영국," 181,249 "
2017,영국," 184,384 "
2018,영국," 188,783 "
2019,영국," 195,669 "
2020,영국," 203,529 "
2001,스웨덴," 27,779 "
2002,스웨덴," 28,679 "
2003,스웨덴," 29,419 "
2004,스웨덴," 30,340 "
2005,스웨덴," 31,199 "
2006,스웨덴," 32,180 "
2007,스웨덴," 33,178 "
2008,스웨덴," 33,950 "
2009,스웨덴," 34,874 "
2010,스웨덴," 35,714 "
2011,스웨덴," 36,751 "
2012,스웨덴," 37,776 "
2013,스웨덴," 38,823 "
2014,스웨덴," 39,849 "
2015,스웨덴," 40,914 "
2016,스웨덴," 42,007 "
2017,스웨덴," 42,926 "
2018,스웨덴," 43,930 "
